TransactionAmount_log,TransactionType,Channel,LoginAttempts,AccountBalance,AmountBalanceRatio,Cluster
2.7140322727797574,Debit,ATM,1.0,5112.21,0.0005308921724223432,0
5.932881589675684,Debit,ATM,1.0,13758.91,0.00043120287796600534,0
4.846467947882343,Debit,Online,1.0,1122.35,0.004318143135276897,0
5.22305488204749,Debit,Online,1.0,8569.06,0.0006095248349348562,0
2.670694414558441,Credit,Online,1.0,7429.4,0.0003594764603545484,0
4.5342110970475975,Debit,ATM,1.0,781.6800000000003,0.005800597555319053,0
2.089391872533004,Credit,ATM,1.0,13316.71,0.00015690000552184792,0
5.1499333607817785,Credit,Branch,1.0,2796.24,0.001841735101700833,0
4.674976060232054,Credit,Branch,1.0,9095.14,0.0005140081472337467,0
6.705590134053119,Debit,ATM,1.0,1021.8799999999997,0.006562013283405641,0
2.932792473780117,Credit,Online,1.0,7599.52,0.00038591812032598514,0
5.252378134606592,Debit,Online,1.0,1528.81,0.003435599017931042,0
6.205607716224892,Credit,Branch,1.0,1620.02,0.003830574756003668,0
6.662826135596005,Debit,ATM,1.0,189.6899999999996,0.035124814885133006,1
5.123904453822123,Debit,Online,1.0,299.9300000000003,0.017083667701813885,1
6.14515083340697,Debit,ATM,1.0,3465.54,0.0017732159586688358,0
6.32220610902021,Credit,Branch,1.0,1131.2600000000002,0.005588641080754753,0
6.202393806742613,Debit,Online,1.0,5109.97,0.0012137828219620467,0
2.9796028916241073,Credit,Branch,1.0,7948.37,0.0003748696766285079,0
4.283310661734724,Credit,Online,1.0,6568.59,0.0006520898186268393,0
4.099663723699701,Debit,Branch,1.0,5750.89,0.0007128746548271639,0
4.463260939805398,Debit,Branch,1.0,9146.19,0.0004879912772208874,0
3.9740583963475986,Debit,Online,1.0,8974.93,0.00044279547543514585,0
5.8488635785089595,Debit,Online,3.0,1402.5,0.004170312711946374,0
4.987298428731818,Debit,Online,1.0,1930.96,0.002582807737461799,0
2.138889000323256,Credit,Online,1.0,3634.67,0.0005884685543179071,0
5.513146448258161,Debit,ATM,5.0,673.3500000000004,0.008187638595455519,0
